5	se	se	CLR	CLR	n=p,s|p=3	6	aff	6	aff	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	27	2	29	_	405	407	_	_	_
6	passent	passer	V	V	n=p|t=P,S|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	30	2	37	present	408	415	del	415-415	_	_
7	en	en	P	P		6	mod	6	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	39	2	41	_	417	419	_	_	_
8	plein	plein	ADJ	ADJ	n=s|g=m	9	mod	9	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	42	2	47	_	420	425	_	_	_
9	mois	mois	NC	NC	g=m	7	prep	7	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	48	2	52	_	426	430	_	_	_
10	de	de	P	P		6	mod	6	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	53	2	55	_	431	433	_	_	_
11	juillet	juillet	NC	NC	n=s|g=m	10	prep	10	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	56	2	63	_	434	441	_	_	_
12	,	,	PONCT	PONCT		11	ponct	11	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	63	2	64	_	441	442	_	_	_
13	les	les	DET	DET	n=p	14	det	14	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	65	2	68	_	443	446	_	_	_
14	soirées	soirée	NC	NC	n=p|g=f	6	mod	6	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	69	2	76	_	447	454	_	_	_
15	festives	festif	ADJ	ADJ	n=p|g=f	14	mod	14	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	77	2	85	_	455	463	_	_	_
16	,	,	PONCT	PONCT		15	ponct	15	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	85	2	86	_	463	464	_	_	_
17	alcoolisées	alcooliser	VPP	VPP	n=p|g=f|t=K	14	mod	14	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	87	2	98	_	465	476	_	_	_
18	.	.	PONCT	PONCT		17	ponct	17	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	98	2	99	_	476	477	_	_	_

1	Les	les	DET	DET	n=p	2	det	2	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	100	2	103	_	478	481	_	_	_
2	demoiselles	demoiselle	NC	NC	n=p|g=f	3	suj	3	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	104	2	115	_	482	493	_	_	_
3	invitèrent	inviter	V	V	n=p|t=J|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	116	2	126	autreTemps	494	504	_	_	_
4	l'	le	DET	DET	n=s	5	det	5	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	127	2	129	_	505	507	_	_	_
5	adolescente	adolescent	NC	NC	n=s|g=f	3	obj	3	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	129	2	140	_	507	518	_	_	_
6	à	à	P	P		3	mod	3	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	141	2	142	_	519	520	_	_	_
7	aller	aller	VINF	VINF	t=W	8	aux_caus	8	aux_caus	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	143	2	148	_	521	526	_	_	_
8	passer	passer	VINF	VINF	t=W	6	prep	6	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	149	2	155	_	527	533	_	_	_
9	une	une	DET	DET	n=s|g=f	10	det	10	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	156	2	159	_	534	537	_	_	_
10	soirée	soirée	NC	NC	n=s|g=f	8	obj	8	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	160	2	166	_	538	544	_	_	_
11	mais	mais	CC	CC		3	coord	3	coord	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	167	2	171	_	545	549	_	_	_
12	rien	rien	PRO	PRO	n=s|g=m	11	dep_coord	11	dep_coord	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	172	2	176	_	550	554	_	_	_
13	n'	ne	ADV	ADV		14	mod	14	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	177	2	179	_	555	557	_	_	_
14	allait	aller	V	V	n=s|t=I|p=3	3	mod	3	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	179	2	185	imparfait	557	563	_	_	_
15	se	se	CLR	CLR	n=p,s|p=3	16	aff	16	aff	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	186	2	188	_	564	566	_	_	_
16	passer	passer	VINF	VINF	t=W	14	obj	14	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	189	2	195	_	567	573	_	_	_
17	comme	comme	P	P		16	mod	16	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	196	2	201	_	574	579	_	_	_
18	prévu	prévoir	VPP	VPP	n=s|g=m|t=K	17	prep	17	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	202	2	207	_	580	585	_	_	_
19	...	...	PONCT	PONCT		18	ponct	18	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	208	2	211	_	586	589	_	_	_

1	La	la	DET	DET	n=s|g=f	2	det	2	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	1	3	3	_	589	591	_	_	_
2	soirée	soirée	NC	NC	n=s|g=f	4	suj	4	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	4	3	10	_	592	598	_	_	_
3	se	se	CLR	CLR	n=p,s|p=3	4	aff	4	aff	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	11	3	13	_	599	601	_	_	_
4	déroula	dérouler	V	V	n=s|t=J|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	14	3	21	autreTemps	602	609	_	_	_
5	,	,	PONCT	PONCT		4	ponct	4	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	21	3	22	_	609	610	_	_	_
6	il	il	CLS	CLS	n=s|g=m|p=3	8	suj	8	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	23	3	25	_	611	613	_	_	_
7	y	y	CLO	CLO		8	aff	8	aff	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	26	3	27	_	614	615	_	_	_
